location,skew,distortion
baltimore,0.001,0.0
baltimore,0.1,0.0
baltimore,0.2,0.0
baltimore,0.5,0.0
baltimore,1.0,0.0
baltimore,2.0,0.0
baltimore,5.0,1.88
dallas,0.001,0.0
dallas,0.1,0.0
dallas,0.2,0.0
dallas,0.5,0.0
dallas,1.0,0.23999999999999996
dallas,2.0,0.8999999999999999
dallas,5.0,2.295
dallas,10.0,3.37
decatur,0.001,0.0
decatur,0.1,0.0
decatur,0.2,0.0
decatur,0.5,0.06999999999999999
decatur,1.0,0.06999999999999999
decatur,2.0,0.485
decatur,5.0,0.59
decatur,10.0,0.59
decatur,20.0,1.03
decatur,50.0,19.310000000000002
new_york,0.001,0.0
new_york,0.1,0.0
new_york,0.2,0.0
new_york,0.5,0.0
new_york,1.0,0.0
new_york,2.0,0.0
new_york,5.0,0.0
new_york,10.0,0.81
newhaven,0.001,0.0
newhaven,0.1,0.0
newhaven,0.2,0.0
newhaven,0.5,0.0
newhaven,1.0,0.0
newhaven,2.0,1.14
newhaven,5.0,1.2999999999999998
newhaven,10.0,2.745
redmond,0.001,0.0
redmond,0.1,0.0
redmond,0.2,0.0
redmond,0.5,0.0
redmond,1.0,0.05500000000000001
redmond,2.0,0.51
redmond,5.0,1.4649999999999999
redmond,10.0,2.02
