location,skew,distortion
baltimore,0.001,0.0
baltimore,0.1,0.0
baltimore,0.2,0.0
baltimore,0.5,0.0
baltimore,1.0,0.0
baltimore,2.0,0.0
baltimore,5.0,1.25
baltimore,10.0,4.3
baltimore,20.0,5.75
decatur,0.001,0.0
decatur,0.1,0.0
decatur,0.2,0.0
decatur,0.5,0.0
decatur,1.0,0.0
decatur,2.0,0.0
decatur,10.0,0.0
new_york,0.001,0.0
new_york,0.1,0.0
new_york,0.2,0.0
new_york,0.5,0.0
new_york,1.0,0.0
new_york,2.0,0.0
new_york,5.0,0.0
new_york,10.0,0.0
new_york,20.0,6.199999999999999
newhaven,0.001,
redmond,0.001,0.0
redmond,0.1,0.0
redmond,0.2,0.0
redmond,0.5,0.0
redmond,1.0,0.0
redmond,2.0,0.0
redmond,5.0,0.0
redmond,10.0,0.5
redmond,20.0,2.45
